q3_K_o1024_n8	42.38
q3_K_o2048_n1	28.01
q3_K_o2048_n2	33.43
q3_K_o2048_n3	40.36
q3_K_o2048_n4	47.43
q3_K_o2048_n5	57.86
q3_K_o2048_n6	58.99
q3_K_o2048_n7	63.55
q3_K_o2048_n8	77.30
q3_K_o4096_n1	51.47
q3_K_o4096_n2	57.48
q3_K_o4096_n3	73.30
q3_K_o4096_n4	86.77
q3_K_o4096_n5	100.78
q3_K_o4096_n6	112.85
q3_K_o4096_n7	124.45
q3_K_o4096_n8	139.08
q3_K_o8192_n1	98.78
q3_K_o8192_n2	113.99
q3_K_o8192_n3	138.18
q3_K_o8192_n4	162.77
q3_K_o8192_n5	195.57
q3_K_o8192_n6	215.58
q3_K_o8192_n7	235.14
q3_K_o8192_n8	262.91
q3_K_o17408_n1	188.20
q3_K_o17408_n2	222.07
q3_K_o17408_n3	274.42
q3_K_o17408_n4	320.17
q3_K_o17408_n5	390.57
q3_K_o17408_n6	436.85
q3_K_o17408_n7	513.00
q3_K_o17408_n8	598.67
q4_K_o512_n1	8.39
q4_K_o512_n2	9.84
q4_K_o512_n3	11.34
q4_K_o512_n4	12.89
q4_K_o512_n5	14.51
q4_K_o512_n6	15.92
q4_K_o512_n7	17.99
q4_K_o512_n8	20.91
q4_K_o1024_n1	11.11
q4_K_o1024_n2	14.38
q4_K_o1024_n3	17.66
q4_K_o1024_n4	20.68
q4_K_o1024_n5	23.68
q4_K_o1024_n6	26.74
q4_K_o1024_n7	29.66
q4_K_o1024_n8	34.20
q4_K_o2048_n1	17.42
q4_K_o2048_n2	23.81
q4_K_o2048_n3	32.50
q4_K_o2048_n4	36.89
q4_K_o2048_n5	43.16
q4_K_o2048_n6	49.79
q4_K_o2048_n7	61.77
q4_K_o2048_n8	65.39
q4_K_o4096_n1	28.44
q4_K_o4096_n2	40.23
q4_K_o4096_n3	55.68
q4_K_o4096_n4	64.27
q4_K_o4096_n5	78.92
q4_K_o4096_n6	90.19
q4_K_o4096_n7	106.87
q4_K_o4096_n8	114.82
q4_K_o8192_n1	50.33
q4_K_o8192_n2	72.97
q4_K_o8192_n3	108.85
q4_K_o8192_n4	117.38
q4_K_o8192_n5	148.53
q4_K_o8192_n6	165.02
q4_K_o8192_n7	203.05
q4_K_o8192_n8	214.93
q4_K_o17408_n1	238.68
q4_K_o17408_n2	239.00
q4_K_o17408_n3	248.58
q4_K_o17408_n4	264.85
q4_K_o17408_n5	311.51
q4_K_o17408_n6	343.21
q4_K_o17408_n7	399.62
q4_K_o17408_n8	461.84
q6_K_o512_n1	11.66
q6_K_o512_n2	12.15
q6_K_o512_n3	13.40
q6_K_o512_n4	14.71
q6_K_o512_n5	16.62
q6_K_o512_n6	19.00
q6_K_o512_n7	20.78
q6_K_o512_n8	23.04
q6_K_o1024_n1	15.09
q6_K_o1024_n2	18.25
q6_K_o1024_n3	21.83
q6_K_o1024_n4	24.24
q6_K_o1024_n5	27.56
q6_K_o1024_n6	30.49
q6_K_o1024_n7	37.40
q6_K_o1024_n8	37.91
q6_K_o2048_n1	25.13
q6_K_o2048_n2	31.77
q6_K_o2048_n3	38.21
q6_K_o2048_n4	43.27
q6_K_o2048_n5	50.52
q6_K_o2048_n6	56.88
q6_K_o2048_n7	65.02
q6_K_o2048_n8	76.52
q6_K_o4096_n1	43.66
q6_K_o4096_n2	55.81
q6_K_o4096_n3	68.24
q6_K_o4096_n4	88.02
q6_K_o4096_n5	93.03
q6_K_o4096_n6	104.43
q6_K_o4096_n7	116.75
q6_K_o4096_n8	130.02
q6_K_o8192_n1	95.04
q6_K_o8192_n2	110.08
q6_K_o8192_n3	133.23
q6_K_o8192_n4	151.75
q6_K_o8192_n5	188.80
q6_K_o8192_n6	204.62
q6_K_o8192_n7	230.36
q6_K_o8192_n8	253.30
q6_K_o17408_n1	360.75
q6_K_o17408_n2	354.77
q6_K_o17408_n3	363.53
q6_K_o17408_n4	365.20
q6_K_o17408_n5	377.87
q6_K_o17408_n6	424.34
q6_K_o17408_n7	468.39
q6_K_o17408_n8	516.89
